,customer_number,Cluster,fruit_veg,dairy,confectionary,grocery_food,grocery_health_pets,newspapers_magazines,prepared_meals,soft_drinks,frozen,meat,tobacco,drinks,deli,world_foods,lottery,seasonal_gifting,discount_bakery,practical_items,total_spend,recency,frequency,name
0,11387,2,64.58,35.91,107.78,27.08,29.59,54.83,6.35,22.83,21.51,28.62,162.1,28.02,28.12,28.54,2.0,7.48,0.0,0.84,697.76,13,64,c
1,8171,0,16.89,37.24,28.84,33.43,66.4,22.06,12.09,2.34,78.74,26.44,0.0,8.42,2.65,3.76,0.0,9.99,0.0,0.0,369.31,2,50,a
2,1060,0,87.3,82.98,49.88,20.57,37.04,9.85,57.98,31.12,14.53,54.65,0.0,0.0,2.6,0.0,18.0,106.46,0.0,0.0,668.68,15,40,a
3,3728,2,84.05,186.56,175.5,119.84,111.08,13.05,25.54,124.42,15.24,0.95,127.7,0.0,0.0,0.0,4.0,0.0,0.0,4.5,1104.1,2,51,c
4,14621,0,35.16,121.31,79.23,29.03,37.17,40.06,0.0,4.68,3.33,36.24,0.0,2.55,99.16,0.0,0.0,3.4,0.0,0.0,524.45,8,90,a
5,12563,4,25.76,19.11,20.84,37.29,8.99,0.0,17.65,14.48,8.08,17.32,0.0,36.74,5.5,3.73,0.0,0.0,11.28,0.0,251.01,9,18,e
6,1652,0,97.6,31.16,21.5,47.13,26.29,4.12,24.92,1.26,14.53,31.96,0.0,0.0,0.0,9.83,0.0,0.0,0.0,0.0,349.66999999999996,1,95,a
7,2989,0,52.82,51.56,51.92,63.79,61.78,15.35,24.52,22.16,36.97,47.08,0.0,0.0,10.46,19.1,0.0,1.7,0.0,5.08,514.0200000000001,7,17,a
8,14219,0,126.27,132.41,35.54,84.98,23.47,0.0,9.99,9.63,49.8,14.6,0.0,0.0,0.89,4.56,0.0,0.0,0.0,0.0,524.63,2,77,a
9,1831,4,2.77,16.4,47.54,16.86,5.42,9.42,5.43,1.57,6.14,4.52,0.0,2.97,0.55,0.0,9.0,0.0,0.0,0.0,231.49,1,63,e
10,1433,0,44.35,47.36,56.74,43.63,29.66,10.2,15.91,8.39,12.34,14.38,0.0,0.0,45.96,0.0,0.0,0.0,0.0,0.0,348.32000000000005,2,50,a
11,14801,0,181.41,82.99,36.72,24.35,15.46,9.47,18.32,0.0,27.51,35.42,0.0,0.0,0.0,18.32,124.0,0.0,0.0,0.0,797.13,2,52,a
12,16316,4,42.58,28.96,35.96,16.56,33.55,1.78,6.46,24.48,12.79,0.0,0.0,73.37,24.65,4.01,0.0,0.0,0.0,5.32,330.4,1,17,e
13,3386,0,398.89,216.74,108.8,84.26,176.22,16.95,36.14,10.25,23.92,115.56,0.0,0.0,0.0,14.22,0.0,7.87,0.0,2.96,1263.4700000000003,2,27,a
14,1461,3,19.16,35.99,78.77,15.24,57.33,55.74,18.64,60.56,11.27,18.98,0.0,159.27,0.0,9.6,6.0,2.11,0.0,0.0,646.8399999999999,1,81,d
15,1671,3,128.51,109.94,76.7,33.64,26.4,6.41,53.45,6.53,91.04,71.88,0.0,11.31,25.08,1.95,0.0,1.83,54.5,0.0,756.81,2,86,d
16,11607,3,168.37,62.11,143.92,161.05,64.34,10.73,8.65,32.11,174.86,13.56,0.0,18.23,0.0,1.19,0.0,20.51,0.0,0.84,895.6400000000001,14,19,d
17,13908,3,210.42,168.84,57.47,89.24,40.89,0.0,51.17,17.72,27.25,153.77,0.0,79.46,3.13,1.19,0.0,0.0,0.0,0.0,914.8399999999999,2,67,d
18,15458,4,2.05,2.49,10.46,1.94,2.55,0.4,0.59,0.0,1.88,0.0,0.0,0.0,0.83,3.97,0.0,1.99,0.0,0.0,30.229999999999997,9,6,e
19,15932,1,24.72,23.43,80.13,2.04,128.2,16.01,1.61,18.66,3.53,0.0,87.34,0.0,0.0,0.79,0.0,35.19,0.0,0.0,445.09000000000003,1,27,b
